fecha	cp	minsplit	minbucket	maxdepth	corte	xval_repeats	xval_folds	ganancia	iteracion
20230906 185916	-0.907022051132641	2497	553	10	6744	10	5	71617000	38
20230906 190130	-0.247217258253225	3972	1977	19	10873	10	5	63651000	39
20230906 190327	-0.917418855233734	2631	614	7	14326	10	5	63469000	40
20230906 190616	-0.264143776105971	1148	568	17	9324	10	5	72093000	41
20230906 190815	-0.938555643244492	1868	686	7	7487	10	5	71057000	42
20230906 191121	-0.294130132045412	2637	312	18	9729	10	5	72058000	43
20230906 191410	-0.220278942247117	2869	660	17	9275	10	5	70791000	44
20230906 191610	-0.569332099194354	2706	604	7	14992	10	5	61446000	45
20230906 191815	-0.94847768061067	2905	14	8	7722	10	5	67284000	46
20230906 192046	-0.886973146360994	2870	693	17	8301	10	5	70560000	47
20230906 192327	-0.344768278093343	2050	560	16	10097	10	5	71631000	48
20230906 192606	-0.300313571985705	1611	760	20	8952	10	5	71050000	49
20230906 192835	-0.895176257887434	2426	625	12	8383	10	5	70973000	50
20230906 193022	-0.559475774450047	2346	514	6	5002	10	5	67844000	51
20230906 193308	-0.293051885682866	1895	426	17	7247	10	5	75117000	52
20230906 193715	-0.224562547680108	71	2	19	6530	10	5	48734000	53
20230906 193945	-0.285212616648423	2238	954	17	8031	10	5	68166000	54
20230906 194206	-0.419791117479398	1718	383	10	7018	10	5	74844000	55
20230906 194449	-0.419118701289553	1770	407	15	7044	10	5	74641000	56
20230906 194722	-0.188552863022745	5747	529	20	9303	10	5	58709000	57
20230906 194910	-0.438695028654103	2847	430	6	6362	10	5	68796000	58
20230906 195200	-0.999543951647359	2008	351	20	9388	10	5	75026000	59
20230906 195402	-0.19053702949657	7998	2217	18	6579	10	5	50176000	60
20230906 195644	-0.247286355485118	1628	500	20	12679	10	5	68488000	61
20230906 195752	-0.999764395796885	8000	3997	3	13113	10	5	49343000	62
20230906 200036	-0.315821831671663	1448	13	12	6970	10	5	69762000	63
20230906 200250	-0.481492121758456	1706	468	9	7163	10	5	73269000	64
20230906 200531	-0.386569356604198	1761	426	14	7226	10	5	74781000	65
20230906 200645	-0.999873232593132	2551	546	3	9615	10	5	61467000	66
20230906 200932	-0.999806960732275	1824	386	20	7361	10	5	74984000	67
20230906 201222	-0.401198406272602	1717	353	17	9032	10	5	74466000	68
20230906 201342	-0.821942215311414	8000	4000	3	5002	10	5	47768000	69
20230906 201627	-0.306590593696282	1671	424	16	8947	10	5	74837000	70
20230906 201830	-0.999716355951232	7990	279	9	14990	10	5	49630000	71
20230906 202118	-0.315783124488489	1808	355	16	5014	10	5	69615000	72
20230906 202403	-0.608671192974704	2053	400	20	7223	10	5	75201000	73
20230906 202651	-0.619218991642546	2703	409	20	12793	10	5	66955000	74
20230906 202940	-0.562007976641427	1906	389	20	7226	10	5	75005000	75
20230906 203229	-0.999836311730649	2493	379	20	7902	10	5	73388000	76
20230906 203525	-0.871895369123096	1888	333	20	7192	10	5	75110000	77
20230906 203818	-0.589415642865605	1846	392	18	7133	10	5	74207000	78
20230906 204126	-0.917163460610952	1868	322	20	5001	10	5	69636000	79
20230906 204421	-0.999831896539418	1756	422	20	11638	10	5	71568000	80
20230906 204721	-0.3866918430407	1817	363	17	7133	10	5	74375000	81
20230906 204917	-0.999594847635064	7993	3979	19	6283	10	5	50309000	82
20230906 205207	-0.593524864154367	1816	421	20	7180	10	5	74900000	83
20230906 205457	-0.997889786529491	1859	396	18	8988	10	5	75082000	84
20230906 205757	-0.263080781520134	1757	415	17	9258	10	5	74396000	85
20230906 210057	-0.584835228581792	1965	388	20	9167	10	5	75285000	86
20230906 210309	-0.205245186854157	7995	1390	20	9620	10	5	51604000	87
20230906 210516	-0.413190710315319	6154	3075	15	14996	10	5	52731000	88
20230906 210809	-0.647856925377388	2000	435	20	9058	10	5	75236000	89
20230906 211101	-0.841596244075848	2032	390	20	9126	10	5	75201000	90
20230906 211350	-0.12676799266492	1646	420	17	7062	10	5	74284000	91
20230906 211643	-0.169118186479572	1614	386	19	7332	10	5	74998000	92
20230906 211940	-0.879273231601776	1995	401	19	9196	10	5	75019000	93
20230906 212230	-0.199160637633196	1625	416	16	7177	10	5	74403000	94
20230906 212522	-0.739054213731422	2097	354	20	7224	10	5	75257000	95
20230906 212744	-0.999935715109233	1806	433	10	9195	10	5	74683000	96
20230906 213035	-0.954074405108385	1863	373	20	8755	10	5	74963000	97
20230906 213327	-0.683098940536438	1980	313	20	7636	10	5	75355000	98
20230906 213616	-0.095252899154229	1640	399	20	7272	10	5	74578000	99
20230906 213845	-0.431393489503395	1878	407	11	9034	10	5	74991000	100
20230906 214111	-0.563950479393843	1919	377	10	8957	10	5	75355000	101
20230906 214359	-0.137775204925121	1818	378	20	6855	10	5	74319000	102
20230906 214650	-0.135381964025773	1457	382	20	9041	10	5	75124000	103
