fecha	cp	minsplit	minbucket	maxdepth	xval_repeats	xval_folds	ganancia	iteracion
20230907 014045	-0.910019438080801	6548	3272	17	10	5	53110400	219
20230907 014324	-0.767842597322406	2238	472	20	10	5	70186900	220
20230907 014512	-0.941423231907509	4930	2465	6	10	5	53967900	221
20230907 014718	-0.0824306936784572	4556	2278	20	10	5	57364300	222
20230907 014909	-0.74089745821589	2176	464	6	10	5	71242500	223
20230907 015029	-0.999681321960555	7723	3861	3	10	5	52104500	224
20230907 015147	-0.229986000890946	8000	2735	3	10	5	51179100	225
20230907 015411	-0.85768281560073	2449	1016	20	10	5	63282800	226
20230907 015636	-0.0861478692881495	5983	391	20	10	5	53977700	227
20230907 015911	-0.772600253076961	2664	477	18	10	5	68816300	228
20230907 020107	-0.33982319152238	8000	3126	20	10	5	50982400	229
20230907 020253	-0.0831615504413	6939	1	6	10	5	51563400	230
20230907 020443	-0.677433174683987	8000	3039	13	10	5	50850100	231
20230907 020722	-0.209934659388146	1949	471	19	10	5	69391000	232
20230907 020909	-0.439383102893984	997	396	6	10	5	70590800	233
20230907 021059	-0.848294000585165	2187	610	6	10	5	67991000	234
20230907 021257	-0.834736270694816	5643	2819	20	10	5	53829300	235
20230907 021458	-0.289840993352272	2220	485	7	10	5	70702100	236
20230907 021707	-0.999890654776714	3981	1990	14	10	5	57791300	237
20230907 021917	-0.783520161414374	3497	1746	18	10	5	58610300	238
20230907 022121	-0.0746549056921678	2640	1	8	10	5	59460100	239
20230907 022352	-0.834647084909777	3248	391	13	10	5	66698800	240
20230907 022508	-0.999775499552764	5655	474	3	10	5	51750300	241
20230907 022656	-0.899516123699553	2502	389	6	10	5	70202300	242
20230907 022843	-0.812428329830847	2005	395	6	10	5	71126300	243
20230907 023119	-0.0883663721509288	2182	480	18	10	5	70028000	244
20230907 023238	-0.644240513629606	6760	1881	3	10	5	51786000	245
20230907 023458	-0.0727733750904397	7574	472	13	10	5	51685200	246
20230907 023706	-0.488202797307227	7997	1105	20	10	5	51419900	247
20230907 023912	-0.0938855450574596	7030	1323	20	10	5	52257100	248
20230907 024059	-0.99988946707852	6054	2100	6	10	5	52917200	249
20230907 024314	-0.450968531665142	3249	1520	13	10	5	60351200	250
20230907 024503	-0.36011186814629	769	2	6	10	5	63252000	251
20230907 024705	-0.381416795187446	1056	487	7	10	5	69351100	252
20230907 024852	-0.577150200120963	922	460	6	10	5	70380100	253
20230907 025044	-0.901901859946936	1271	401	6	10	5	70401800	254
20230907 025231	-0.962702065404255	1615	402	6	10	5	71355200	255
20230907 025504	-0.3070619717331	3338	469	14	10	5	66241000	256
20230907 025734	-0.739315235777294	4504	472	18	10	5	60225200	257
20230907 030004	-0.999224852854979	6845	3	11	10	5	50142400	258
20230907 030240	-0.975386205928725	2921	473	20	10	5	68157600	259
20230907 030616	-0.778467825474967	3244	3	20	10	5	60832100	260
20230907 030813	-0.226299303874399	2186	394	7	10	5	71025500	261
20230907 031120	-0.62421500352651	7997	1	16	10	5	49543200	262
20230907 031311	-0.980274663531529	1686	458	6	10	5	70933800	263
20230907 031457	-0.127247230642949	8	4	6	10	5	65788100	264
20230907 031736	-0.0335597094232938	2069	413	19	10	5	69309800	265
20230907 031927	-0.811038343450824	2207	96	6	10	5	68460000	266
20230907 032118	-0.570016573065658	8000	3791	20	10	5	51733500	267
20230907 032317	-0.0541554979024753	2237	467	7	10	5	71154300	268
20230907 032520	-0.313251293807585	2236	393	7	10	5	71178100	269
20230907 032705	-0.992516165425711	2245	1	6	10	5	56358400	270
20230907 032902	-0.394943616552057	2213	208	7	10	5	69811700	271
20230907 033048	-0.903725648866357	1575	245	6	10	5	70302400	272
20230907 033247	-0.0491556608555337	2413	1196	7	10	5	62961500	273
20230907 033606	-0.932541757848199	7731	2	20	10	5	49196000	274
20230907 033816	-0.585162678951385	3993	1995	13	10	5	57958600	275
20230907 034059	-0.903793499840568	2315	393	20	10	5	69681500	276
20230907 034251	-0.706531753677954	3231	1596	6	10	5	59785600	277
20230907 034453	-0.819032583304037	7997	2072	13	10	5	51205000	278
